day,material,temperature,burner_power
2000-01-01,299340,320.0,49.0
2000-01-02,143567,223.0,79.0
2000-01-03,273685,320.0,74.0
2000-01-04,217952,276.5,89.0
2000-01-05,276963,294.0,98.0
2000-01-06,252315,277.0,75.0
2000-01-07,195939,254.0,82.0
2000-01-08,197639,230.0,66.0
2000-01-09,141993,320.0,94.0
2000-01-10,222579,217.5,67.0
2000-01-11,186293,240.0,68.0
2000-01-12,286098,320.0,72.0
2000-01-13,212420,307.0,96.0
2000-01-14,148600,301.5,46.0
2000-01-15,270584,247.0,55.0
2000-01-16,152620,320.0,45.0
2000-01-17,180186,320.0,61.0
2000-01-18,117089,275.0,77.0
2000-01-19,263302,237.5,44.0
2000-01-20,250055,240.5,48.0
2000-01-21,208631,235.5,85.0
2000-01-22,201201,231.5,85.0
2000-01-23,182457,320.0,57.0
2000-01-24,237993,294.0,54.0
2000-01-25,269876,243.5,98.0
2000-01-26,167699,320.0,98.0
2000-01-27,170608,254.5,95.0
2000-01-28,268691,320.0,86.0
2000-01-29,107877,225.0,49.0
2000-01-30,183966,230.0,80.0
2000-01-31,232943,315.5,95.0
2000-02-01,173135,305.5,73.0
2000-02-02,233568,218.0,48.0
2000-02-03,279026,320.0,84.0
2000-02-04,255747,265.0,98.0
2000-02-05,208504,300.5,49.0
2000-02-06,131921,245.0,89.0
2000-02-07,231869,303.5,95.0
2000-02-08,149811,313.5,80.0
2000-02-09,299827,290.5,56.0
2000-02-10,222144,297.0,50.0
2000-02-11,283561,224.5,88.0
2000-02-12,184665,320.0,63.0
2000-02-13,219423,237.0,48.0
2000-02-14,141504,320.0,52.0
2000-02-15,149866,320.0,50.0
2000-02-16,223031,281.5,75.0
2000-02-17,225603,279.0,54.0
2000-02-18,111723,311.5,92.0
2000-02-19,274962,311.5,90.0
2000-02-20,248663,292.0,92.0
2000-02-21,158146,315.0,78.0
2000-02-22,208672,289.0,44.0
2000-02-23,290372,320.0,70.0
2000-02-24,189141,320.0,69.0
2000-02-25,171557,320.0,97.0
2000-02-26,251078,308.0,79.0
2000-02-27,234632,320.0,98.0
2000-02-28,161713,320.0,98.0
2000-02-29,196591,245.5,57.0
2000-03-01,145444,279.5,82.0
2000-03-02,146522,320.0,79.0
2000-03-03,213183,235.0,82.0
2000-03-04,186904,244.5,63.0
2000-03-05,120737,313.0,91.0
2000-03-06,259719,320.0,92.0
2000-03-07,292425,272.5,74.0
2000-03-08,192217,320.0,50.0
2000-03-09,180163,310.0,86.0
2000-03-10,112134,320.0,75.0
2000-03-11,291607,243.0,51.0
2000-03-12,147883,297.0,43.0
2000-03-13,186107,320.0,58.0
2000-03-14,163360,225.0,82.0
2000-03-15,282883,225.5,54.0
2000-03-16,109781,232.0,51.0
2000-03-17,250412,229.0,55.0
2000-03-18,127257,240.0,59.0
2000-03-19,247370,278.5,95.0
2000-03-20,112372,320.0,92.0
2000-03-21,235492,320.0,67.0
2000-03-22,211366,258.0,46.0
2000-03-23,182991,227.0,94.0
2000-03-24,162079,320.0,43.0
2000-03-25,238084,240.5,47.0
2000-03-26,109396,320.0,43.0
2000-03-27,103918,311.0,43.0
2000-03-28,109359,320.0,85.0
2000-03-29,216372,315.5,95.0
2000-03-30,275331,223.5,86.0
2000-03-31,254554,320.0,82.0
2000-04-01,246199,320.0,91.0
2000-04-02,201261,293.0,60.0
2000-04-03,137237,252.0,57.0
2000-04-04,179701,320.0,59.0
2000-04-05,108752,320.0,88.0
2000-04-06,208101,320.0,95.0
2000-04-07,150624,245.0,62.0
2000-04-08,140133,309.0,85.0
2000-04-09,193790,320.0,56.0
2000-04-10,286225,212.0,63.0
2000-04-11,162756,298.5,75.0
2000-04-12,224834,214.5,51.0
2000-04-13,190928,252.0,50.0
2000-04-14,181757,251.5,91.0
2000-04-15,184355,240.0,66.0
2000-04-16,199938,320.0,67.0
2000-04-17,279754,318.0,77.0
2000-04-18,166509,320.0,73.0
2000-04-19,124777,320.0,76.0
2000-04-20,225311,319.0,60.0
2000-04-21,113824,222.5,46.0
2000-04-22,233490,227.0,86.0
2000-04-23,243915,234.5,65.0
2000-04-24,178778,320.0,98.0
2000-04-25,136223,265.5,74.0
2000-04-26,161570,320.0,90.0
2000-04-27,106521,277.0,71.0
2000-04-28,287966,320.0,77.0
2000-04-29,174659,225.5,71.0
2000-04-30,196990,283.0,54.0
2000-05-01,208483,234.0,84.0
2000-05-02,221426,255.5,49.0
2000-05-03,114254,320.0,92.0
2000-05-04,151939,269.0,46.0
2000-05-05,137073,266.5,84.0
2000-05-06,254382,309.5,86.0
2000-05-07,131785,237.0,41.0
2000-05-08,164570,318.0,42.0
2000-05-09,180577,304.0,80.0
2000-05-10,287428,235.5,92.0
2000-05-11,254378,246.5,52.0
2000-05-12,136950,257.0,61.0
2000-05-13,213707,217.0,50.0
2000-05-14,178696,320.0,90.0
2000-05-15,198611,277.0,48.0
2000-05-16,178928,313.0,94.0
2000-05-17,179904,320.0,97.0
2000-05-18,170838,248.0,62.0
2000-05-19,264992,269.0,87.0
2000-05-20,188870,320.0,98.0
2000-05-21,206771,318.5,43.0
2000-05-22,212170,273.5,83.0
2000-05-23,211987,320.0,46.0
2000-05-24,215896,242.0,70.0
2000-05-25,200796,274.5,43.0
2000-05-26,192648,232.5,61.0
2000-05-27,179128,236.0,88.0
2000-05-28,190749,215.0,72.0
2000-05-29,264610,214.0,45.0
2000-05-30,108286,236.0,57.0
2000-05-31,209794,244.5,89.0
2000-06-01,204299,283.0,56.0
2000-06-02,230317,292.0,64.0
2000-06-03,249800,261.0,98.0
2000-06-04,113640,254.0,57.0
2000-06-05,299699,278.5,54.0
2000-06-06,276735,294.0,57.0
2000-06-07,103912,301.0,61.0
2000-06-08,281658,308.5,74.0
2000-06-09,121752,292.0,51.0
2000-06-10,159715,254.0,82.0
2000-06-11,107997,228.5,98.0
2000-06-12,284078,226.0,57.0
2000-06-13,271872,259.0,81.0
2000-06-14,246692,248.5,53.0
2000-06-15,170381,304.5,55.0
2000-06-16,154268,320.0,88.0
2000-06-17,169069,226.0,42.0
2000-06-18,168473,320.0,82.0
2000-06-19,191757,235.5,49.0
2000-06-20,203243,241.0,54.0
2000-06-21,273584,317.5,44.0
2000-06-22,250680,320.0,61.0
2000-06-23,192309,320.0,86.0
2000-06-24,199438,303.5,45.0
2000-06-25,214713,263.0,88.0
2000-06-26,207984,320.0,44.0
2000-06-27,248412,320.0,64.0
2000-06-28,101913,232.5,94.0
2000-06-29,283158,320.0,69.0
2000-06-30,113429,245.0,59.0
2000-07-01,224349,222.0,76.0
2000-07-02,113907,228.5,50.0
2000-07-03,135489,311.0,98.0
2000-07-04,241160,282.5,93.0
2000-07-05,215616,252.5,85.0
2000-07-06,246660,298.5,45.0
2000-07-07,138395,301.0,53.0
2000-07-08,160155,234.5,83.0
2000-07-09,220953,231.0,80.0
2000-07-10,269286,320.0,91.0
2000-07-11,100469,258.5,88.0
2000-07-12,143295,238.5,70.0
2000-07-13,174253,282.5,63.0
2000-07-14,216551,319.5,43.0
2000-07-15,265560,320.0,69.0
2000-07-16,269112,320.0,95.0
2000-07-17,248047,290.5,73.0
2000-07-18,204489,312.5,69.0
2000-07-19,246984,300.0,50.0
2000-07-20,259158,320.0,60.0
2000-07-21,182127,223.0,66.0
2000-07-22,115115,291.0,47.0
2000-07-23,218950,320.0,88.0
2000-07-24,179983,318.0,48.0
2000-07-25,283645,305.0,69.0
2000-07-26,295295,286.5,54.0
2000-07-27,111052,320.0,64.0
2000-07-28,223096,245.5,89.0
2000-07-29,115741,292.0,53.0
2000-07-30,157368,216.5,73.0
2000-07-31,194275,320.0,73.0
2000-08-01,143986,320.0,57.0
2000-08-02,105103,242.5,80.0
2000-08-03,222627,320.0,71.0
2000-08-04,135050,303.5,88.0
2000-08-05,232812,313.5,65.0
2000-08-06,155270,314.5,87.0
2000-08-07,243651,285.0,78.0
2000-08-08,171382,226.0,90.0
2000-08-09,211614,223.5,67.0
2000-08-10,278877,320.0,68.0
2000-08-11,251237,320.0,80.0
2000-08-12,233847,291.5,59.0
2000-08-13,130752,308.0,59.0
